record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page|category|sector|project_name_short
60|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Crushed stones|81|IDP_PROJECTS|Health|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.
61|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|River/Building Sand|81|IDP_PROJECTS|Health|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.
62|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Burnt Bricks Land|81|IDP_PROJECTS|Health|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.
63|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Stones|81|IDP_PROJECTS|Health|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.
64|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|4|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.|Lusinde, Lunene, Mankhungwe, Pilimbila, Chizanda, Minanga, Chikumba, Wankhala & Zumaire|All wards|Mwanjawanthu||4|Gravel|81|IDP_PROJECTS|Health|Construction of Mini 1.0 Hospitals, Health Posts and Staff Houses.
65|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|Existing unprotected|81|IDP_PROJECTS|Agriculture|Creation of Community Forests
66|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|forests in some wards|81|IDP_PROJECTS|Agriculture|Creation of Community Forests
67|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|8|Creation of Community Forests|Sanjama, Julius, Mazombwe, Sing’omba, Mulindang’ombe, Chitelele, Makwinza|All wards|Mwanjawanthu||8|Unskilled Labour|81|IDP_PROJECTS|Agriculture|Creation of Community Forests
68|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Unskilled Labour|82|IDP_PROJECTS|Education|Construction of Staff Houses, Schools /Upgrading of Schools
69|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.3|Mwanjawanthu|Kaumbwe Constituency|10|Construction of Staff Houses, Schools /Upgrading of Schools|Various schools|All the wards.|Mwanjawanthu||10|Crushed stones|82|IDP_PROJECTS|Education|Construction of Staff Houses, Schools /Upgrading of Schools
