0|1|2|3|5|7|source_page|4|6
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||23||"Estimates
5,700,616
4,303,280
169,330
1,228,006"
"6 Housing and Community Amenities
012Markets and Bus Stations
017Community Centres
029Roads and Drainages"|"(0)
(0)
(0)
(0)"|"(0)
(0)
(0)"|"6,830,947
3,111,789
605,684
3,113,474"|"(0)
(0)
(0)"||23||
Programme Total|(0)|(0)|6,830,94|(0)||23|7|5,57,0700,06,16616
Key Output and Output Indicator|2023||2024|2025||24||
|Target|Actual|Target|Target||24|Actual*|
"Conducive trading spaces created
01 Number of markets constructed
02 Number of markets cleaned and maintained"|"-
-"|"-
-"|"1
3"|"1
3"||24|"-
3"|
"Bus station constructed
01 Number of bus stations constructed"|-|-|-|1||24|-|
"WASHE Conditions Improved in the District
01 Number of Community Sensitisations Campaign on WASHE conducted
02 Number of water quality monitoring samples collected and submitted"|"-
-"|"-
-"|"52
40"|"52
40"||24|"52
20"|
ECONOMIC CLASSIFICATION|2023 BUDGET|||||25|2024 BUDGET|2025 BUDGET
|Approved|"Expendit
ure"||"Expendit
ure*"||25|Approved|Estimates
"02Use of Goods and Services
02General Operations"|"-
-"|"-
-"||-||25|352,670|"317,844
317,844"
||||-||25|352,670|
Programme Total|(0)|(0)||(0)||25|352,670|317,844
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||25||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||25||Estimates
"7 Recreation Culture and Religion
001Cultural Affairs
042Sports Promotion"|"(0)
(0)
(0)"|"(0)
(0)"|"352,670
18,000
334,670"|"(0)
(0)"||25||"317,844
9,224
308,620"
Programme Total|(0)|(0)|352,67|(0)||25|0|3173,1874,4844
Key Output and Output Indicator|2023||2024|2025||26||
|Target|Actual|Target|Target||26|Actual*|
"Cultural practices in the district inventoried
01 Number of cultural practices inventoried"|-|-|1|1||26|-|
"Cultural and creative industries developed
01 Number of cultural and creative industries developed"|-|-|-|1||26|-|
"Traditional ceremonies supported
01 Number of traditional ceremonies supported"|-|-|-|2||26|-|
"Sports activities promoted
01 Number of sports activities conducted at ward level
02 Number of sports activities conducted at district level
03 Number of sports equipment procured
04 Number of sports associations formed
05 Number of health walks/aerobics conducted
06 Number of coaching clinics conducted
07 Number of Petauke United Football Club games supported"|"-
-
-
-
-
-
-"|"-
-
-
-
-
-
-"|"-
-
-
-
-
-
32"|"7
7
7
7
4
1
16"||26|"-
-
-
-
-
-
27"|
"Sensitisation of communities on the National Sports Policy conducted
01 Number of sensitisation of communities on the National Sports Policy"|-|-|-|2||26|-|
"Sports facility rehabilitated
01 Number of sports facilities rehabilitated"|-|-|-|4||26|-|
ECONOMIC CLASSIFICATION|2023 BUDGET|||||27|2024 BUDGET|2025 BUDGET
|Approved|"Expendit
ure"||"Expendit
ure*"||27|Approved|Estimates
"01Personal Emoluments
01Salaries and Wages
02Use of Goods and Services
02General Operations
01Community Development
04Assets
01Non-Financial Assets (Capital Expenditure)
01Community Development"|"-
-
-
-
-
-
-
-"|"-
-
-
-
-
-
-
-"||-||27|482,169|"397,705
397,705
27,251
27,251
27,251
15,500
15,500
15,500"
||||-||27|482,169|
||||-||27|21,510|
||||-||27|21,510|
||||-||27|21,510|
||||-||27|25,500|
||||-||27|25,500|
||||-||27|25,500|
Programme Total|(0)|(0)||||27||440,456
||||(0)||27|529,179|
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||27||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||27||"Estimates
440,456
19,241
421,215"
"8 Education and Skills Development
001District archives
005Early Childhood Education"|"(0)
(0)
(0)"|"(0)
(0)"|"529,179
2,000
527,179"|"(0)
(0)"||27||
Programme Total|(0)|(0)|529,17|(0)||27|9|4404,4405,6456
Key Output and Output Indicator|2023||2024|2025||28||
|Target|Actual|Target|Target||28|Actual*|
"District Record Surveyed
01 Number of record surveys conducted in the district"|-|-|-|1||28|-|
"Records collected
01 Percentage of NA17 boxes collected annually"|-|-|-|100||28|-|
"Records processed and shelved
01 Number of NA17 boxes processed and shelved annually"|-|-|-|6||28|-|
"Pre-school enrolment
01 Number of pupils enrolled"|-|-|50|50||28|33|
ECONOMIC CLASSIFICATION|2023 BUDGET|||||29|2024 BUDGET|2025 BUDGET
|Approved|"Expendit
ure"||"Expendit
ure*"||29|Approved|Estimates
"01Personal Emoluments
01Salaries and Wages
02Use of Goods and Services
02General Operations
01Fire
04Assets
01Non-Financial Assets (Capital Expenditure)"|"-
-
-
-
-
-
-"|"-
-
-
-
-
-
-"||-||29|1,662,574|"3,056,078
3,056,078
311,960
311,960
311,960
47,550
47,550"
||||-||29|1,662,574|
||||-||29|190,020|
||||-||29|190,020|
||||-||29|190,020|
||||-||29|33,400|
||||-||29|33,400|
Programme Total|(0)|(0)||(0)||29|1,885,994|3,415,588
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||29||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||29||Estimates
"10 Public Order and Safety
018Community Policing
041Fire Protection Services"|"(0)
(0)
(0)"|"(0)
(0)"|"1,885,994
967,821
918,174"|"(0)
(0)"||29||"3,415,588
1,107,383
2,308,205"
Programme Total|(0)|(0)|1,885,99|(0)||29|4|3,34,1451,55,85888
Key Output and Output Indicator|2023||2024|2025||30||
|Target|Actual|Target|Target||30|Actual*|
"Reported cases of public nuisance resolved
01 Proportion of reported cases of public nuisance resolved"|-|-|100|100||30|88|
"Building inspections conducted
01 Proportion of buildings inspected"|-|-|100|100||30|100|
"Fire protection services implemented
01 Percentage of sensitisation meetings on risk management conducted
02 Percentage of rescue operations responded to promptly"|"-
-"|"-
-"|"100
100"|"100
100"||30|"100
100"|
ECONOMIC CLASSIFICATION|2023 BUDGET|||2024 BUDGET|2025 BUDGET|31||
|Approved|"Expendit
ure"||Approved|Estimates|31||"Expendit
ure*"
"01Personal Emoluments
01Salaries and Wages
02Use of Goods and Services
02General Operations
04Assets
01Non-Financial Assets (Capital Expenditure)
03(cid:9)Accounting
05Liabilities
01 Outstanding Bills"|"-
-
-
-
-
-
-
-
-"|"-
-
-
-
-
-
-
-
-"||7,731,946|"7,370,935
7,370,935
3,142,499
3,142,499
448,630
448,630
97,130
500,000
500,000"|31||-
||||7,731,946||31||-
||||3,187,888||31||-
||||3,187,888||31||-
||||91,880||31||-
||||91,880||31||-
||||27,000||31||-
||||555,500||31||-
||||555,500||31||-
Programme Total|(0)|(0)|||11,462,064|31||
||||11,567,213||31||(0)
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||32||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||32||Estimates
"11 Management and Support Services
001(cid:9)Human Resource and Administration
009Auditing
016Procurement Management
024ICT
028Executive Management
035Accounting Management
036Legal Services"|"(0)
(0)
(0)
(0)
(0)
(0)
(0)
(0)"|"(0)
(0)
(0)
(0)
(0)
(0)
(0)"|"11,567,213
4,419,746
514,394
701,248
615,668
1,296,917
3,304,139
715,101"|"(0)
(0)
(0)
(0)
(0)
(0)
(0)"||32||"11,462,064
3,956,454
172,124
505,846
518,455
1,062,235
5,075,478
171,472"
Programme Total|(0)|(0)|11,567,21|(0)||32|3|1111,4,46622,0,06644
Key Output and Output Indicator|2023||2024|2025||33||
|Target|Actual|Target|Target||33|Actual*|
"Internal audit reports actioned
01 Number of internal audit reports actioned"|-|-|4|4||33|3|
"Procurement plan developed
01 Number of procurement plans prepared"|-|-|1|1||33|1|
"Provincial Development Coordinating Committee meeting attended
01 Number of PDCC meetings attended"|-|-|4|4||33|3|
"District Development Coordinating Committee meetings held
01 Number of DDCC meetings"|-|-|4|4||33|3|
"Management meetings held
01 Number of management meetings held"|-|-|-|12||33|-|
"Debt liquidated
01 Proportion of debt liquidated"|-|-|-|2||33|-|
