project_id|project_name|project_description|sector|project_type|province|district|constituency|ward|project_site|amount_requested_zmw|approved_amount_zmw|effective_amount_zmw|amount_category|has_amount|year_funded|status|comments|source_file
KPR-84|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Chionviya Village||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-85|Borehole and Dip Tank|Borehole and Dip Tank|Water and Sanitation|Drilling Borehole and Dip Tank|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Manyane Community|325000.0||325000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-86|Health Post|Health Post|Health|Construction of a Health Post|Muchinga|Kaumbwe|Kaumbwe|Manjazi|Joe-kapili Village||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-87|Staff Houses|3 Staff Houses|Education|Construction of 3 Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Nyandubane Primary School|510000.0||510000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-88|Staff Houses|2 Solar Powered Staff Houses|Education|Construction of 2 Solar Powered Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Lunene Primary School|1000000.0||1000000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-89|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Mbwika Village|60000.0||60000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-90|Bridge|Bridge||Construction of a Bridge|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Chinsima Village|180000.0||180000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-91|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Kanyukuta Gardener Co-operat|60000.0||60000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-92|Classroom Block|Classroom Block|Education|Construction of a Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Kafuwele Primary School||||Unknown|0|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-93|Dam|Dam|Water and Sanitation|Rehabilitation of a Dam|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Nyandubane|720000.0||720000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-94|Classroom Block|Classroom Block|Education|Construction of a Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Nyandubane Primary School|170000.0||170000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-95|House|House|Health|Construction of a house|Muchinga|Kaumbwe|Kaumbwe|Lusinde|Mtukuzi Healthy Post|80000.0||80000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
