No.,Project Name,Project Description,Sector,Type of Project,Constituency,Ward,Project Site/Location,Project Amount Requested,COMMENTS
76,Staff Houses,3 Staff Houses,Education,Construction of 3 Staff Houses,Kaumbwe,Lusinde,Nyandubane Primary School,"510,000",Funds were not adequate for all projects to be approved
77,Staff Houses,2 Solar Powered Staff Houses,Education,Construction of 2 Solar Powered Staff Houses,Kaumbwe,Lusinde,Lunene Primary School,"1,000,000",Funds were not adequate for all projects to be approved
78,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Lusinde,Mbwika Village,"60,000",Funds were not adequate for all projects to be approved
79,Bridge,Bridge,,Construction of a Bridge,Kaumbwe,Lusinde,Chinsima Village,"180,000",Funds were not adequate for all projects to be approved
80,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Lusinde,Kanyukuta Gardener Co-operati,"60,000",Funds were not adequate for all projects to be approved
81,Classroom Block,Classroom Block,Education,Construction of a Classroom Block,Kaumbwe,Lusinde,Kafuwele Primary School,NIL,Funds were not adequate for all projects to be approved
82,Dam,Dam,Water and Sanitation,Rehabilitation of a Dam,Kaumbwe,Lusinde,Nyandubane,"720,000",Funds were not adequate for all projects to be approved
83,Classroom Block,Classroom Block,Education,Construction of a Classroom Block,Kaumbwe,Lusinde,Nyandubane Primary School,"170,000",Funds were not adequate for all projects to be approved
84,Classroom Block and Staff House,1x2 Classroom Block and 1 Staff House,Education,Construction of a 1x2 Classroom Block and 1 Staff House,Kaumbwe,Lusinde,Katayauchi PTC,"1,475,450",Funds were not adequate for all projects to be approved
85,Classroom Block,1x3 Classroom Block,Education,Construction of a 1x3 Classroom Block,Kaumbwe,Lusinde,Nzumbi Primary School,"1,198,607.25",Funds were not adequate for all projects to be approved
86,Classroom Block,1x2 ECE Classroom Block,Education,Construction of 1x2 Classroom Block,Kaumbwe,Lusinde,Lunene Primary School,"700,000",Funds were not adequate for all projects to be approved
87,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Lusinde,Sikalenje,NIL,Funds were not adequate for all projects to be approved
88,Tower,Tower,Communication,Construction of a Communication Tower,Kaumbwe,Lusinde,Lusinde Community,"120,000",Funds were not adequate for all projects to be approved
89,Toilets,VIP Toilets,Education,Construction of VIP Toilets,Kaumbwe,Lusinde,Lusinde Community,"50,000",Funds were not adequate for all projects to be approved
90,Laboratory,Computer Laboratory,Education,Construction of a Computer Laboratory,Kaumbwe,Lusinde,Lusinde,"120,000",Funds were not adequate for all projects to be approved
91,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Lusinde,Lusinde Community,"110,000",Funds were not adequate for all projects to be approved
92,Dip Water Tank,Dip Water Tank,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Lusinde,Lunene,"350,000",Funds were not adequate for all projects to be approved
93,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Lusinde,Lunene,NIL,Funds were not adequate for all projects to be approved
